KMeans_Label_C,Age_mean,Children_mean,Income_mean,Total_Spent_mean,Age_median,Children_median,Income_median,Total_Spent_median,Age_std,Children_std,Income_std,Total_Spent_std,Count
0,42.997737556561084,0.9457013574660633,33293.782805429866,94.36425339366515,43.0,1.0,32704.5,63.0,3.7005232631025535,0.3111562540995653,9381.395236482953,91.54137826525272,442
1,57.40355329949239,0.49238578680203043,70907.59390862944,1176.1142131979695,57.0,0.0,70652.0,1105.5,4.181881135993023,0.5253791975054938,10846.223986294897,429.48300733418944,394
2,50.306451612903224,2.1152073732718892,45426.652073732716,236.43778801843317,49.0,2.0,44368.0,96.5,6.041473661950854,0.319640500055552,13913.78021335503,291.6838540553348,434
3,55.89237668161435,0.7399103139013453,44392.00448430493,267.4484304932735,56.0,1.0,46097.0,257.0,5.8546266605949615,0.43967021940322637,13399.79280446838,174.79366416237553,223
4,43.225563909774436,0.8045112781954887,14902.300751879699,71.9624060150376,43.0,1.0,16185.0,49.0,6.2627041082729225,0.5961828911035321,5061.351789706589,156.23212169305228,133
5,43.54406779661017,0.5033898305084745,70389.6186440678,1132.8050847457628,44.0,0.0,69438.5,1100.5,4.380531523688738,0.5138047106745386,28603.20463267002,507.7189619134736,590
