Birch_Label_B,Age_mean,Children_mean,Income_mean,Total_Spent_mean,Age_median,Children_median,Income_median,Total_Spent_median,Age_std,Children_std,Income_std,Total_Spent_std,Count
0,54.57400257400258,0.6692406692406693,62980.79021879022,859.4221364221364,56.0,1.0,62905.0,863.0,6.282851277095171,0.473518922638218,27824.916596766612,532.4097856150146,777
1,43.261732851985556,0.4332129963898917,63115.9440433213,964.8700361010831,43.0,0.0,66744.5,977.0,4.603059116554124,0.49596724660425534,19507.227821568547,644.2700997089825,554
2,43.25,0.8333333333333334,7674.555555555556,127.5,42.5,1.0,7500.0,46.0,7.484746393260667,0.6546536707079771,2641.4657126510488,292.71844102188993,36
3,49.530973451327434,2.0929203539823007,53070.44690265487,456.7699115044248,48.0,2.0,52223.5,321.5,6.377837733847734,0.29096523325244894,12706.27866316716,358.9329992284121,226
4,42.159383033419026,0.87146529562982,28031.56555269923,60.760925449871465,42.0,1.0,27255.0,50.0,3.847652334131888,0.33511524706923723,7807.854655313524,43.76468136778573,389
5,50.585470085470085,2.123931623931624,37192.81196581197,49.205128205128204,50.0,2.0,36942.0,45.0,5.950724195221882,0.33020986242776224,10227.93360830143,27.84461435710574,234
