KMeans_Label,Age_mean,Children_mean,Income_mean,Total_Spent_mean,Age_median,Children_median,Income_median,Total_Spent_median,Age_std,Children_std,Income_std,Total_Spent_std,Count
0,45.82608695652174,1.0900621118012421,63668.32608695652,884.1366459627329,46.0,1.0,62466.0,872.0,3.6965340630978107,0.42649114900540447,10838.890668249134,340.58876998761264,322
1,43.546583850931675,0.8260869565217391,30649.456521739132,119.7919254658385,43.0,1.0,30825.0,66.0,4.928036161729087,0.3874423433360071,10908.979629053112,145.28032707122765,644
2,49.946835443037976,2.118987341772152,41183.42025316456,143.91139240506328,49.0,2.0,41275.0,71.0,6.046327816260442,0.3241842356147016,11705.670749947985,165.50128358983713,395
3,57.45490196078431,0.1411764705882353,75985.07843137255,1359.3803921568629,57.0,0.0,76842.0,1334.0,4.972852036029248,0.34888826279573815,10897.863343719777,403.99647276643356,255
4,42.054545454545455,0.09818181818181818,81009.7890909091,1473.9345454545455,43.0,0.0,77583.0,1479.0,4.6112294773340405,0.29810282670356036,38051.074369274844,430.6270967205772,275
5,57.27384615384615,0.9723076923076923,54212.67692307692,537.2984615384615,57.0,1.0,54450.0,467.0,4.607638482310189,0.4606449090066362,11824.406129095576,334.920379561731,325
