KMeans_Label_A,Age_mean,Children_mean,Income_mean,Total_Spent_mean,Age_median,Children_median,Income_median,Total_Spent_median,Age_std,Children_std,Income_std,Total_Spent_std,Count
0,49.66101694915254,1.1501210653753027,64138.47699757869,942.1912832929783,49.0,1.0,63381.0,908.0,5.8799772085453705,0.3900849233737731,10192.860454277183,302.43244406777103,413
1,57.066390041493776,0.6887966804979253,46519.39834024896,302.6597510373444,57.0,1.0,47743.0,297.0,5.495049954025328,0.46394931043768317,15995.736020337752,208.14768494574008,241
2,50.18826405867971,2.1100244498777507,41631.60391198044,150.0684596577017,49.0,2.0,41644.0,73.0,6.217169393175278,0.3133034759273973,13120.132936788574,160.40850182783626,409
3,49.1328125,0.095703125,78227.490234375,1435.529296875,48.0,0.0,77032.0,1423.5,8.910840025545353,0.29447138905605535,28366.674234515158,403.31017708994017,512
4,42.765990639625585,0.8517940717628705,32760.907956318253,135.4820592823713,43.0,1.0,31880.0,69.0,4.086735134084695,0.3555814710123422,13497.600967369242,154.7713941374592,641
