KMeans_Label_C,Age_mean,Children_mean,Income_mean,Total_Spent_mean,Age_median,Children_median,Income_median,Total_Spent_median,Age_std,Children_std,Income_std,Total_Spent_std,Count
0,43.777227722772274,0.9133663366336634,38347.68564356436,148.8589108910891,43.5,1.0,37195.0,95.0,4.402218732002176,0.2816462671630744,9535.090870223325,129.59738147494826,404
1,43.671480144404335,0.4693140794223827,71975.87003610109,1191.6389891696751,44.0,0.0,70409.5,1150.0,4.4592203655056455,0.5137852637020968,28912.37471225887,479.98667062157415,554
2,50.11467889908257,2.103211009174312,45249.706422018346,223.55963302752295,49.0,2.0,44283.5,92.0,6.127433329462021,0.3402348904214978,13482.793203260582,280.9142113473018,436
3,57.404059040590404,0.5959409594095941,64771.826568265686,942.8616236162362,57.0,1.0,64955.5,928.5,4.748092538521503,0.5309480762975146,15006.841056122676,526.0324635613895,542
4,44.7,0.8214285714285714,19920.035714285714,58.81785714285714,44.0,1.0,21002.5,44.0,6.503597019615253,0.5390534268792009,6315.363822188331,110.20875777041724,280
