KMeans_Label,Customer_Age_mean,Children_mean,Income_mean,Total_Spending_mean,Customer_Age_median,Children_median,Income_median,Total_Spending_median,Customer_Age_std,Children_std,Income_std,Total_Spending_std,Count
0,60.02681992337165,0.0,72674.9846743295,1231.1647509578545,60.0,0.0,75276.0,1234.0,7.683852264160711,0.0,14828.353595449746,506.9239129513984,261
1,40.62698412698413,1.1587301587301588,60681.90079365079,782.0661375661375,41.0,1.0,60046.5,722.5,5.140571643507028,0.3801304762603726,14859.310380325827,414.33469519948494,378
2,38.165217391304346,0.84,28499.079130434784,77.01217391304348,38.0,1.0,28427.0,57.0,8.619856376466865,0.41588661011610795,11308.443938391865,94.54380577500923,575
3,57.88390501319261,1.1002638522427441,59060.34036939314,736.2084432717678,58.0,1.0,59292.0,660.0,5.939485801720316,0.3570528009756986,11310.84306057621,430.2953474836659,379
4,50.47074468085106,2.098404255319149,41074.34441489362,115.22606382978724,50.0,2.0,40825.5,64.0,8.67451104350969,0.39109774584943674,10629.78133235716,127.47209665464801,376
5,35.07037037037037,0.003703703703703704,77156.15,1382.8925925925926,35.0,0.0,75391.0,1369.0,7.590755227121866,0.06085806194501846,38891.49156500954,489.41076735338817,270
